Institute code,College Name,Fees,GOVERNMENT/PRIVATE,Location,Computer_ CET_cuttoff ,Computer_JEE_cuttoff ,GENERAL_cuttoff,OBC_cuttoffs,SC/ST_cuttoff,EWS_cuttoffs,Quota(management)(yes/no),Intakes(seats),Placement   (on_campus)(yes/no),college_hostels_available,Academic rating (out of 5),Faculty rating(out of 5),Infrastructure rating (out of 5),accomodation rating (out of 5),Placement rating (out of 5),Overall rating (out of 10)
3182,"Thadomal Shahani Engineering College, Bandra, Mumbai",205375,"Un-Aided, Linguistic Minority - Sindhi","W, P. G. Kher Marg, (32nd Road, Marg, Off Linking Rd, TPS III, Bandra West, Mumbai, Maharashtra 400050",85,97.6788269,98.2315536,,,,Yes,180,Yes,No,,1.65,1.65,,0,
3183,"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai",143470,Private,Mumbai,85,87.9544465,82.251586,,,,Yes,60,Yes,Yes,,1.95,1.75,,0,
3184,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",167454,Private,Mumbai,98.274,96.0857,98.274,,,,No,300,Yes,Yes,,2.55,2,,0,
3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",147443,Private,Mumbai,98.285,96.5024,98.285,,,,No,180,Yes,Yes,,1.9,2.5,,0,
3187,"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",92826,Private,Mumbai,62.399,85.8765,62.399,7.929,6.295,49.221,No,180,No,No,,2.1,3,,0,
3188,"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",122751,Private,Mumbai,91.262,82.578,91.262,88.915,86.556,88.617,No,120,Yes,No,,2.6,2,,0,
3189,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",120300,Affiliated to Mumbai University and Approved by AICTE,Navi Mumbai,94.997,72.4997,94.997,94.224,92.733,93.396,Yes,60,Yes,Yes,,2.4,2.15,,0,
3190,"Terna Engineering College, Nerul, Navi Mumbai",480000,Private,Navi Mumbai,45.644,70.791,45.644,7.257,,29.346,No,180,Yes,Yes,,1.7,1.6,,0,
3192,"Smt. Indira Gandhi College of Engineering, Navi Mumbai",87160,Private,Navi Mumbai,89.993,52.5521,89.993,88.99,87.481,86.256,No,120,Yes,No,,2.05,1.8,,0,
3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",105880,Private,"Dombivali,Mumbai",85.922,71.539,85.922,82.251,79.808,79.264,Yes,90,Yes,No,,2.45,2.5,,0,
3194,"Vidyavardhini's College of Engineering and Technology, Vasai",311397,Private,"Vasai, Mumbai",93.405,84.4944,93.405,90.242,85.251,87.699,Yes,180,Yes,No,,2.35,2.6,,0,
3196,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",141515,"Private, NACC ''A"" Grade","Koparkhairnare, Navi Mumbai,Mumbai",91.013,87.5543,91.013,,,,No,120,Yes,No,,2.5,2.45,,0,
3197,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",134366,"Un-Aided, Religious Minority - Christian",420,85,94.3402,97.38,,,,No,12o,Yes,Yes,,1.9,1.8,,0,
3198,"Konkan Gyanpeeth College of Engineering, Karjat",216000,Un-Aided,300,85,65.3927,80.63,78.15,,40,No,480,Yes,Yes,,1.7,3.3,,0,
3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",107000,"Un-Aided, Autonomous, Linguistic Minority - Gujarathi",1020,85,63.0505,0.95,,,,Yes,180,Yes,Yes,,4.5,4.6,,0,
3200,"Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri",200000,Un-Aided,360,85,62.4066,88.7,,,,No,,Yes,Yes,,1.95,1.95,,0,
3201,"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",123553,"Un-Aided, Religious Minority - Muslim",360,85,47.3554,92.34,45,,,No,120,Yes,Yes,,4,4,,0,
3202,Rajendra Mane College of Engineering & Technology Ambav Deorukh,90000,Un-Aided,180,85,39.7807,77.83,,,,No,120,Yes,Yes,,4,4.6,,0,
3203,"Atharva College of Engineering,Malad(West),Mumbai",100000,Un-Aided,480,85,87.9249,94.12,0.95,,,Yes,480,Yes,YES,,4.25,4.5,,0,
3204,"St. Francis Institute of Technology,Borivali, Mumbai",15800,"Un-Aided, Religious Minority - Christian",540,85,87.2541,0.9,,,,Yes,480,Yes,Yes,,4.5,4.4,,0,
3206,"S.S.P.M.'s College of Engineering, Kankavli",84000,Un-Aided,270,85,76.9241,82.78,,,,No,60,Yes,Yes,,4.15,4.45,,0,
3207,"Mahatma Education Society's Pillai College of Engineering, New Panvel",133000,"Un-Aided, Autonomous, Linguistic Minority - Malyalam",630,85,73.6013,0.84,,,,Yes,,Yes,Yes,,4,4.7,,0,
3208,"Don Bosco Institute of Technology, Mumbai",5120,Un-Aided Religious Minority - Roman Catholics,"Premier Automobiles Road, Opp. Fiat Company, Kurla, Mumbai, Maharashtra 400070",85,94.17,96.2027386,92.13,80,85.5,Yes,120,Yes,Yes,,4,4.5,,4.25,
3209,K J Somaiya Institute of Technology,195972,"Un-Aided, Autonomous, Linguistic Minority - Gujarathi",480,85,5000,97.9,90,70,80,Yes,140,Yes,Yes,,4,4,,4,
3210,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)",100000,"Un-Aided, Linguistic Minority - Punjabi",240,90,85,85,80,65,80,Yes,110,Yes,Yes,,4,4,,3.75,
3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",3390,"Un-Aided, Linguistic Minority - Tamil",540,85,80,85,80,70,80,Yes,120,Yes,Yes,,4.5,4,,3.5,
3212,"WATUMULL INSTITUTE OF ELECTRONICS ENGINEERING & COMPUTER TECHNOLOGY, ULHASNAGAR",68000,"Un-Aided, Linguistic Minority - Sindhi",180,85,80,85,80,60,80,Yes,130,Yes,Yes,,4.5,4,,3.75,
3214,"Xavier Institute Of Engineering C/O Xavier Technical Institute,Mahim,Mumbai",444000,"Un-Aided, Religious Minority - Christian",240,85,80,85,80,65,75,Yes,120,Yes,Yes,,4,3.5,,3,
3215,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai",15800,"Un-Aided, Autonomous",480,95,90,95,85,70,85,Yes,140,Yes,Yes,,4.5,4,,4,
3216,"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",110000,Un-Aided,300,85,80,75,75,60,75,Yes,80,Yes,Yes,,4,3,,3,
3217,"Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",65000,Un-Aided,300,85,75,80,75,60,75,Yes,90,Yes,Yes,,4,3.5,,3.5,
3218,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",122751,"Un-Aided, Religious Minority - Christian",420,80,75,80,75,55,75,Yes,100,Yes,Yes,,4,3.5,,3.75,
3219,"Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur",90000,"Un-Aided, Linguistic Minority - Hindi","Sapgaon, Tal. Shahapur",85,73.25,88,78,62,83,No,60,Yes,Yes,,3.5,3.5,,3.6,
3220,Yadavrao Tasgaonkar College of Engineering & Management,53000,Un-Aided,"Bhivpuri, Karjat",85,75,85,75,60,80,No,60,Yes,Yes,,3.5,3.5,,4,
3221,"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon",45000,Un-Aided,"Shirgaon, Virar",85,71.5,90,80,65,85,No,60,Yes,Yes,,4,4,,3.75,
3222,"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar",2370,"Un-Aided, Religious Minority - Muslim","Betegaon, Boisar",85,68.75,85,75,60,80,No,60,Yes,Yes,,3.5,3.5,,3.5,
3223,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad",85000,"Un-Aided, Linguistic Minority - Malyalam","Tal. Khalapur, Dist. Raigad",85,76,85,77,62,80,No,60,Yes,Yes,,4,4,,3.9,
3224,"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat",80870,Un-Aided,"Shelu, Karjat",85,70.5,80,72,58,75,No,60,Yes,Yes,,3.5,3.5,,3.4,
3277,"Shree Shankar Narayan Education Trust,Pravin Patil College of Diploma Engg. & Technology, Bhayinder (E) Western Rly",114000,Un-Aided,"Bhayinder (E), Western Railway, Mumbai",85,66.25,70,65,50,68,No,60,Yes,No,,3,3,,3,
3351,"Bharat College of Engineering, Kanhor, Badlapur(W)",65000,Un-Aided,"Kanhor, Badlapur (W)",85,64.75,82,75,60,78,No,60,Yes,Yes,,3.5,3.5,,3.25,
3353,"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat, Mumbai",196000,Un-Aided,"Mamdapur, Post- Neral, Tal. Karjat, Mumbai",85,69,85,78,62,80,No,60,Yes,Yes,,3.5,3.5,,3.5,
3423,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai",123553,"Un-Aided, Linguistic Minority - Hindi","Mira Road, Mumbai",85,72.5,88,80,65,85,No,60,Yes,Yes,,4,4,,3.75,
3436,"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath.",84000,Private ,"Karav,Tal-Ambernath,Maharashtra",80,80,89,89,75,85,yes,60,Yes,yes,,3.5,3.5,,3.5,
"Un-Aided, Religious Minority - Muslim","Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",115000,                        Private,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",85,55,85,80,70,80,yes,60,yes,yes,,3.5,3.5,,2.5,
